season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,us_viewers,imdb_rating,total_votes,episode_synopsis
6,9,76,No Way Out,Greg Nicotero,Seth Hoffman,2016-02-14,13740000,9.6,30557,"Daryl, Abraham and Sasha face-off against the Saviors. Back at Alexandria, Rick and his group make their way through the herd."
6,10,77,The Next World,Kari Skogland,Angela Kang and Corey Reed,2016-02-21,13480000,8.3,11787,"Weeks after the walker invasion, Rick and Daryl cross paths with Jesus, a mysterious man with many secrets. Meanwhile, Michonne helps Spencer find closure, as Carl recovers from his injury."
6,11,78,Knots Untie,Michael E. Satrazemis,Matthew Negrete and Channing Powell,2016-02-28,12790000,8.1,10344,"Jesus takes Rick and the group to the Hilltop Colony, a peaceful community overshadowed by the power of the Saviors."
6,12,79,Not Tomorrow Yet,Greg Nicotero,Seth Hoffman,2016-03-06,12820000,9.0,13076,"Rick leads a surprise attack against the Saviors with the joint forces of Alexandria and the Hilltop. As two group members end up captured, Tara and Heath leave on a two-week supply run."
6,13,80,The Same Boat,Billy Gierhart,Angela Kang,2016-03-13,12530000,8.6,12031,Carol and Maggie must fight for their lives after being taken by a group of Saviors.
6,14,81,Twice as Far,Alrick Riley,Matthew Negrete,2016-03-20,12690000,8.0,10448,"With medicine running low, Denise goes on a supply with Daryl and Rosita. Meanwhile, Eugene tries to prove himself to Abraham."
6,15,82,East,Michael E. Satrazemis,Scott M. Gimple and Channing Powell,2016-03-27,12380000,7.9,10481,"Rick and Morgan set out in the search for Carol. Meanwhile, Daryl and Rosita track down Dwight, as Glenn and Michonne fall into a trap."
6,16,83,Last Day on Earth,Greg Nicotero,Scott M. Gimple and Matthew Negrete,2016-04-03,14190000,6.9,32181,"Morgan continues his search for Carol. Meanwhile, Rick and the group travel to the Hilltop with an ailing Maggie, leading to a daunting and life-changing confrontation."
7,1,84,The Day Will Come When You Won't Be,Greg Nicotero,Scott M. Gimple,2016-10-23,17030000,9.2,42427,"Having been brutally overpowered by Negan and his Saviors, Rick and the group kneel helplessly as they suffer heavy losses that will haunt them forever."
7,2,85,The Well,Greg Nicotero,Matthew Negrete,2016-10-30,12460000,7.1,14030,"Carol and Morgan are brought to a community called the Kingdom, led by the eccentric King Ezekiel."
7,3,86,The Cell,Alrick Riley,Angela Kang,2016-11-06,11720000,7.5,12516,"Daryl is taken by Negan to the Sanctuary, home of the Saviors. Meanwhile, Dwight is sent on a mission to bring back a runaway member of his group."
7,4,87,Service,David Boyd,Corey Reed,2016-11-13,11400000,7.6,12311,"Still mourning from the recent tragic losses, Rick and the people of Alexandria receive a sobering visit from Negan and his Saviors."
7,5,88,Go Getters,Darnell Martin,Channing Powell,2016-11-20,11000000,6.8,11519,"Maggie and Sasha recover from their grief at the Hilltop. Meanwhile, Carl and Enid journey to the community, as the Saviors arrive to get their tribute."
7,6,89,Swear,Michael E. Satrazemis,David Leslie Johnson-McGoldrick,2016-11-27,10400000,5.7,14653,Tara encounters a group of female survivors living near the coast after being separated from Heath during their two-week supply run.
7,7,90,Sing Me a Song,Rosemary Rodriguez,Angela Kang and Corey Reed,2016-12-04,10480000,7.9,11549,"As Eugene and Rosita head to the bullet factory, Rick and Aaron search for supplies for Negan. Meanwhile, Carl and Jesus find themselves on their way to the Sanctuary."
7,8,91,Hearts Still Beating,Michael E. Satrazemis,Matthew Negrete and Channing Powell,2016-12-11,10580000,8.7,13519,Negan's unwelcome visit to Alexandria continues as other members scavenge for supplies; things quickly spin out of control.
7,9,92,Rock in the Road,Greg Nicotero,Angela Kang,2017-02-12,12000000,8.0,10633,"Jesus leads Rick and the group to the Kingdom, to convince King Ezekiel in joining Alexandria and the Hilltop in the incoming fight against Negan."
