season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,us_viewers,imdb_rating,total_votes,episode_synopsis
1,1,1,Days Gone Bye,Frank Darabont,Frank Darabont,2010-10-31,5350000,9.2,27463,"Deputy Sheriff Rick Grimes awakens from a coma, and searches for his family in a world ravaged by the undead."
1,2,2,Guts,Michelle MacLaren,Frank Darabont,2010-11-07,4710000,8.6,17278,"In Atlanta, Rick is rescued by a group of survivors, but they soon find themselves trapped inside a department store surrounded by walkers."
1,3,3,Tell It to the Frogs,Gwyneth Horder-Payton,Charles H. Eglee and Jack LoGiudice and Frank Darabont,2010-11-14,5070000,8.2,15815,"Rick is reunited with Lori and Carl but soon decides - along with some of the other survivors - to return to the rooftop and rescue Merle. Meanwhile, tensions run high between the other survivors at the camp."
1,4,4,Vatos,Johan Renck,Robert Kirkman,2010-11-21,4750000,8.5,15449,"Rick, Glenn, Daryl and T-Dog come across a group of seemingly hostile survivors whilst searching for Merle. Back at camp, Jim begins behaving erratically."
1,5,5,Wildfire,Ernest Dickerson,Glen Mazzara,2010-11-28,5560000,8.1,14856,"After the attack on the camp, Rick leads the survivors to the C.D.C., in the hope that they can cure an infected Jim."
1,6,6,TS-19,Guy Ferland,Adam Fierro and Frank Darabont,2010-12-05,5970000,8.6,16184,The survivors gain access to the C.D.C. in the hope of a safe haven.
2,1,7,What Lies Ahead,Ernest Dickerson and Gwyneth Horder-Payton,Ardeth Bey and Robert Kirkman,2011-10-16,7260000,8.5,14515,The group's plan to head for Fort Benning is put on hold when Sophia goes missing.
2,2,8,Bloodletting,Ernest Dickerson,Glen Mazzara,2011-10-23,6700000,7.9,13189,"After Carl is accidentally shot, the group are brought to a family living on a nearby farm. Shane makes a dangerous trip in search of medical supplies."
2,3,9,Save the Last One,Phil Abraham,Scott M. Gimple,2011-10-30,6100000,8.3,13155,"As Carl's condition continues to deteriorate, Shane and Otis try to dodge the walkers as they head back to the farm."
2,4,10,Cherokee Rose,Billy Gierhart,Evan Reilly,2011-11-06,6290000,7.5,12768,"With Carl recovering, the group puts their focus on finding Sophia. Glenn and Maggie go for a trip to find supplies."
2,5,11,Chupacabra,Guy Ferland,David Leslie Johnson-McGoldrick,2011-11-13,6120000,8.0,12869,"In the woods alone, Daryl finds a clue but is injured and attacked by walkers. Rick questions his choices. Glenn gets mixed signals from Maggie."
2,6,12,Secrets,David Boyd,Angela Kang,2011-11-20,6080000,7.6,12507,"Dale confronts Hershel after Glenn tells him about the walkers in the barn. Meanwhile, Lori struggles to come to terms with her pregnancy, and Shane tries to teach Andrea how to use weapons."
2,7,13,Pretty Much Dead Already,Michelle MacLaren,Scott M. Gimple,2011-11-27,6620000,9.2,18195,"Glenn tells the rest of the group about the walkers in the barn, dividing them on what to do. Meanwhile, Hershel sets a deadline for the group to leave, unless Rick does a difficult task."
2,8,14,Nebraska,Clark Johnson,Evan Reilly,2012-02-12,8100000,8.2,12674,"In the aftermath of the barn incident; the group bury loved ones, Beth falls into shock, and Rick and Glenn head out to find Hershel when he disappears."
2,9,15,Triggerfinger,Billy Gierhart,David Leslie Johnson-McGoldrick,2012-02-19,6890000,8.2,12251,"Rick, Glenn and Hershel come under enemy fire after their encounter with Dave and Tony. Meanwhile, Shane goes after Lori when everyone realizes she is missing."
2,10,16,18 Miles Out,Ernest Dickerson,Scott M. Gimple and Glen Mazzara,2012-02-26,7040000,8.4,12684,"Rick and Shane argue over what to do with Randall. Back at the farm, Lori, Andrea and Maggie deal with a suicidal Beth."
2,11,17,"Judge, Jury, Executioner",Greg Nicotero,Angela Kang,2012-03-04,6770000,8.5,12920,Dale fears the group is losing its humanity as Rick and the others vote to execute Randall.
2,12,18,Better Angels,Guy Ferland,Evan Reilly and Glen Mazzara,2012-03-11,6890000,9.1,15468,"Shane's antagonistic behaviour reaches new heights, while Carl suffers the consequences of his actions."
2,13,19,Beside the Dying Fire,Ernest Dickerson,Robert Kirkman and Glen Mazzara,2012-03-18,8990000,9.2,17130,"As the farm is overrun by walkers, the group fights to escape."
3,1,20,Seed,Ernest Dickerson,Glen Mazzara,2012-10-14,10870000,8.8,15012,"After months on the run, the group take refuge in a federal prison, while elsewhere, Andrea's health starts to deteriorate."
3,2,21,Sick,Billy Gierhart,Nichole Beattie,2012-10-21,9550000,8.5,12642,"As Hershel's condition worsens, Rick, Daryl and T-Dog deal with a group of prisoners."
3,3,22,Walk with Me,Guy Ferland,Evan Reilly,2012-10-28,10510000,8.1,12159,Andrea and Michonne are brought to a walled community run by a man called The Governor.
3,4,23,Killer Within,Guy Ferland,Sang Kyu Kim,2012-11-04,9270000,9.3,16891,Lori goes into labour when the prison comes under attack. Michonne tries to convince Andrea to leave Woodbury.
3,5,24,Say the Word,Greg Nicotero,Angela Kang,2012-11-11,10370000,8.1,11420,Rick struggles to cope. Andrea and Michonne part ways. Daryl and Maggie head out to find food and clothes for the baby.
3,6,25,Hounded,Dan Attias,Scott M. Gimple,2012-11-18,9210000,8.1,11269,Rick receives a mysterious phone call. Andrea grows closer to The Governor. Merle tries to hunt down Michonne.
3,7,26,When the Dead Come Knocking,Dan Sackheim,Frank Renzulli,2012-11-25,10430000,8.5,11547,"Michonne leads Rick, Daryl and Oscar to Woodbury to rescue Glenn and Maggie. Merle tries to force information out of Glenn."
3,8,27,Made to Suffer,Billy Gierhart,Robert Kirkman,2012-12-02,10480000,8.9,12947,"Rick, Daryl, Michonne and Oscar enter Woodbury in search of Glenn and Maggie. Meanwhile, a new group of survivors encounter the prison."
3,9,28,The Suicide King,Lesli Linka Glatter,Evan Reilly,2013-02-10,12260000,8.0,11525,Woodbury is left in disarray following the attack by Rick's group. Merle's presence in the group causes conflict.
3,10,29,Home,Seith Mann,Nichole Beattie,2013-02-17,11050000,8.6,12303,Rick continues to see visions of Lori. The Governor plans an assault on the prison. Daryl and Merle fend for themselves out in the forest.
3,11,30,I Ain't a Judas,Greg Nicotero,Angela Kang,2013-02-24,11010000,7.7,11265,"As Rick and the group debate their next course of action, Andrea tries to negotiate with them. Meanwhile, The Governor prepares Woodbury for battle."
3,12,31,Clear,Tricia Brock,Scott M. Gimple,2013-03-03,11300000,8.7,13219,"Rick runs into a familiar face when he, Carl and Michonne head back to Rick's hometown for more guns to fortify themselves against The Governor."
3,13,32,Arrow on the Doorpost,David Boyd,Ryan C. Coleman,2013-03-10,11460000,7.7,11553,"Rick and The Governor meet face-to-face, ostensibly to make a peaceful resolution to prevent further bloodshed. Back at the prison, tensions arise between Merle and the rest of the group."
3,14,33,Prey,Stefan Schwartz,Glen Mazzara and Evan Reilly,2013-03-17,10840000,7.9,11510,"The Governor hunts down Andrea when she flees Woodbury. Meanwhile, tensions arise within Tyreese's group, and The Governor's plan for Rick's group is sabotaged."
3,15,34,This Sorrowful Life,Greg Nicotero,Scott M. Gimple,2013-03-24,10990000,8.8,13039,"While Rick decides the fate of Michonne, Merle takes matters into his own hand."
3,16,35,Welcome to the Tombs,Ernest Dickerson,Glen Mazzara,2013-03-31,12420000,8.2,13234,"As Rick and the group prepare for the Governor's impending attack, Andrea fights to escape captivity."
4,1,36,30 Days Without an Accident,Greg Nicotero,Scott M. Gimple,2013-10-13,16110000,8.1,13642,"Several months have passed and Rick and the expanded group are living a more peaceful life at the prison. Problems surface when Rick encounters a new survivor, and a supply run ends in disaster."
4,2,37,Infected,Guy Ferland,Angela Kang,2013-10-20,13950000,8.3,11917,Rick is forced to abandon his quiet lifestyle when a mysterious virus puts the lives of everyone at the prison at risk.
4,3,38,Isolation,Dan Sackheim,Robert Kirkman,2013-10-27,12920000,7.9,11249,"As the sick are quarantined, Daryl, Tyreese, Michonne and Bob leave the prison in search of medical supplies. Rick makes a shocking discovery."
4,4,39,Indifference,Tricia Brock,Matthew Negrete,2013-11-03,13310000,7.9,11287,"Daryl, Tyreese, Michonne and Bob continue to the veterinary college on foot in search of medicine. Rick and Carol go on a run to a nearby town where they find two uninfected stragglers."
4,5,40,Internment,David Boyd,Channing Powell,2013-11-10,12200000,8.8,13465,"Hershel struggles to care for the sick as the situation in the cell block escalates. Meanwhile, Rick and Carl defend the prison as the fences give way."
4,6,41,Live Bait,Michael Uppendahl,Nichole Beattie,2013-11-17,12000000,7.7,11898,The Governor bonds with a small family following the downfall of Woodbury.
4,7,42,Dead Weight,Jeremy Podeswa,Curtis Gwinn,2013-11-24,11290000,7.7,11491,"The Governor plans his next move as he, Lilly, Tara and Meghan adjust to new surroundings."
4,8,43,Too Far Gone,Ernest Dickerson,Seth Hoffman,2013-12-01,12050000,9.6,28102,Rick and the group face imminent danger as The Governor tries to take the prison.
4,9,44,After,Greg Nicotero,Robert Kirkman,2014-02-09,15760000,8.0,12379,"With the prison overrun, Rick and Carl find themselves on the road looking for shelter. Meanwhile, Michonne is haunted by memories of the past."
4,10,45,Inmates,Tricia Brock,Matthew Negrete and Channing Powell,2014-02-16,13340000,8.1,11410,"Beth tries to remain hopeful. Tyreese, Lizzie and Mika run into a familiar face. Glenn and Maggie struggle to cope without each other."
